"","region","Count","long","lat","group","order","subregion"
"89","Albania",0,19.5775394439697,41.7874984741211,6,858,NA
"90","Albania",0,19.46826171875,41.8561553955078,6,859,NA
"91","Albania",0,19.3423843383789,41.8690910339355,6,860,NA
"92","Albania",0,19.3455085754395,41.9188499450684,6,861,NA
"93","Albania",0,19.3611316680908,41.9977531433105,6,862,NA
"94","Albania",0,19.3521499633789,42.0240211486816,6,863,NA
"95","Albania",0,19.3614253997803,42.069091796875,6,864,NA
"96","Albania",0,19.3308601379395,42.1292953491211,6,865,NA
"97","Albania",0,19.2806644439697,42.1725578308105,6,866,NA
"98","Albania",0,19.3290042877197,42.249267578125,6,867,NA
"99","Albania",0,19.3996086120605,42.3418922424316,6,868,NA
"100","Albania",0,19.4651374816895,42.4153823852539,6,869,NA
